task_id	hash	name	process	tag	status	exit	attempt	realtime	duration	%cpu	peak_rss	peak_vmem	rss	vmem	rchar	wchar
49	72/cecaeb	auto:run_benchmark:run_wf:runEachWf:cellmapper_linear:processWf:cellmapper_linear_process (cellxgene_census/mouse_pancreas_atlas/log_cp10k.cellmapper_linear)	auto:run_benchmark:run_wf:runEachWf:cellmapper_linear:processWf:cellmapper_linear_process	cellxgene_census/mouse_pancreas_atlas/log_cp10k.cellmapper_linear	CACHED	0	1	1m 3s	1m 4s	732.7%	22.4 GB	26.6 GB	22.4 GB	26.6 GB	13 GB	1.5 MB
14	fe/5dbf3f	auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process (cellxgene_census/immune_cell_atlas/log_cp10k.naive_bayes)	auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process	cellxgene_census/immune_cell_atlas/log_cp10k.naive_bayes	CACHED	0	1	6.2s	6.5s	211.6%	10 GB	12.6 GB	9.7 GB	12.3 GB	9.6 GB	166.1 KB
29	39/70cdfa	auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process (cellxgene_census/immune_cell_atlas/log_cp10k.actinn_jax)	auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process	cellxgene_census/immune_cell_atlas/log_cp10k.actinn_jax	CACHED	0	1	2m 23s	2m 24s	265.5%	11.1 GB	14.1 GB	10.4 GB	13.4 GB	9.6 GB	217.6 KB
25	7a/209f31	auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process (cellxgene_census/mouse_pancreas_atlas/log_cp10k.true_labels)	auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process	cellxgene_census/mouse_pancreas_atlas/log_cp10k.true_labels	CACHED	0	1	1.3s	1.7s	320.4%	809.5 MB	2.2 GB	809.5 MB	2.2 GB	882.3 MB	273 KB
50	f9/17b48b	auto:run_benchmark:run_wf:runEachWf:xgboost:processWf:xgboost_process (cellxgene_census/tabula_sapiens/log_cp10k.xgboost)	auto:run_benchmark:run_wf:runEachWf:xgboost:processWf:xgboost_process	cellxgene_census/tabula_sapiens/log_cp10k.xgboost	CACHED	0	1	1h 2m 29s	1h 2m 29s	2482.9%	80.7 GB	85.8 GB	80.7 GB	85.8 GB	19 GB	38.1 KB
59	2f/6778f1	auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process (cellxgene_census/dkd/log_cp10k.majority_vote)	auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process	cellxgene_census/dkd/log_cp10k.majority_vote	CACHED	0	1	10.8s	11.3s	42.1%	1.4 GB	2.7 GB	1.4 GB	2.7 GB	1.3 GB	165.2 KB
31	77/8665e0	auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process (cellxgene_census/immune_cell_atlas/log_cp10k.true_labels)	auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process	cellxgene_census/immune_cell_atlas/log_cp10k.true_labels	CACHED	0	1	990ms	1.4s	382.8%	3.4 MB	4.4 MB	3.4 MB	4.4 MB	254 MB	165.9 KB
62	28/a518cb	auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process (cellxgene_census/mouse_pancreas_atlas/log_cp10k.mlp)	auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process	cellxgene_census/mouse_pancreas_atlas/log_cp10k.mlp	CACHED	0	1	6m 48s	6m 49s	461.9%	13.3 GB	15.9 GB	13.2 GB	15.9 GB	13 GB	273.6 KB
38	9f/293e48	auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process (cellxgene_census/tabula_sapiens/log_cp10k.logistic_regression)	auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process	cellxgene_census/tabula_sapiens/log_cp10k.logistic_regression	CACHED	0	1	1m 33s	1m 33s	607.6%	20 GB	22.5 GB	20 GB	22.5 GB	19 GB	37.5 KB
21	3c/3ccd55	auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process (cellxgene_census/immune_cell_atlas/log_cp10k.knn)	auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process	cellxgene_census/immune_cell_atlas/log_cp10k.knn	CACHED	0	1	6.7s	7.1s	295.7%	10 GB	14 GB	9.9 GB	14 GB	9.6 GB	197.8 KB
34	a4/53956a	auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process (cellxgene_census/mouse_pancreas_atlas/log_cp10k.logistic_regression)	auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process	cellxgene_census/mouse_pancreas_atlas/log_cp10k.logistic_regression	CACHED	0	1	15.8s	16.4s	1772.1%	13.3 GB	15.9 GB	13.3 GB	15.9 GB	13 GB	273.9 KB
19	71/0724e1	auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process (cellxgene_census/mouse_pancreas_atlas/log_cp10k.knn)	auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process	cellxgene_census/mouse_pancreas_atlas/log_cp10k.knn	CACHED	0	1	8.3s	8.9s	329.8%	13.3 GB	17.8 GB	13.2 GB	15.8 GB	13 GB	304.8 KB
27	1d/80ca4e	auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process (cellxgene_census/hypomap/log_cp10k.naive_bayes)	auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process	cellxgene_census/hypomap/log_cp10k.naive_bayes	CACHED	0	1	7.2s	7.6s	196.6%	12.7 GB	15.3 GB	12.7 GB	15.3 GB	12.5 GB	62.4 KB
24	35/b4c781	auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process (cellxgene_census/tabula_sapiens/log_cp10k.knn)	auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process	cellxgene_census/tabula_sapiens/log_cp10k.knn	CACHED	0	1	10.3s	10.6s	174.5%	19.5 GB	22.1 GB	19.3 GB	21.9 GB	19 GB	68.5 KB
66	26/7ab2b2	auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process (cellxgene_census/hypomap/log_cp10k.mlp)	auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process	cellxgene_census/hypomap/log_cp10k.mlp	CACHED	0	1	3m 40s	3m 40s	587.8%	12.8 GB	15.4 GB	12.7 GB	15.3 GB	12.5 GB	62.7 KB
43	2c/8547f9	auto:run_benchmark:run_wf:runEachWf:xgboost:processWf:xgboost_process (cellxgene_census/mouse_pancreas_atlas/log_cp10k.xgboost)	auto:run_benchmark:run_wf:runEachWf:xgboost:processWf:xgboost_process	cellxgene_census/mouse_pancreas_atlas/log_cp10k.xgboost	CACHED	0	1	4m 35s	4m 35s	2455.4%	50.2 GB	54.4 GB	50.2 GB	54.4 GB	13 GB	274.3 KB
