dataset,repeat,method,tier,device,n_ref,n_query,fit_s,predict_s,peak_mem_mb,n,pct_rejected,accuracy,macro_f1,kappa,ontology_concordance
lung_intra,0,actinn-jax,classical,cpu,8109,2694,16.029940082982648,0.35904449998633936,1803.747328,2694,0.0,0.8938381588715665,0.9011671173938277,0.8910235946949665,0.9172234595397178
lung_intra,0,panhuman-azimuth,pretrained,cpu,8109,2694,7.256290625024121,4.823253290960565,1623.310336,2694,0.0,0.4083147735708983,0.22906014785907078,0.39912821009375554,0.700445434298441
liver_intra,0,actinn-jax,classical,cpu,4068,1332,8.29425016703317,0.2927965829730965,1217.363968,1332,0.0,0.8018018018018018,0.7975949786156259,0.7961389961389962,0.8460960960960962
liver_intra,0,panhuman-azimuth,pretrained,cpu,4068,1332,4.585416500049178,2.55648349999683,1684.783104,1332,0.0,0.22672672672672672,0.09824551150181887,0.2169450721179228,0.521021021021021
liver_cross,0,actinn-jax,classical,cpu,5400,3396,9.827994499995839,0.37826033402234316,2307.60448,3396,0.0,0.6855123674911661,0.5692365514071739,0.672688286935428,0.7311542991755006
liver_cross,0,panhuman-azimuth,pretrained,cpu,5400,3396,4.410923291987274,3.527489667001646,2111.97952,3396,0.0,0.15312131919905772,0.04700067705486705,0.14033685916038174,0.4075382803297998
