dataset,repeat,method,tier,device,n_ref,n_query,fit_s,predict_s,peak_mem_mb,n,pct_rejected,accuracy,macro_f1,kappa,ontology_concordance
krasnow_intra,0,actinn-jax,classical,cpu,24558,8169,41.6955091249547,0.4701662499574013,4140.843008,8169,0.0,0.9101481209450362,0.8880864567941084,0.9067861914720373,0.9312033296609132
krasnow_intra,1,actinn-jax,classical,cpu,24558,8169,40.94985120801721,0.4752007499919273,4137.631744,8169,0.0,0.9101481209450362,0.8880864567941084,0.9067861914720373,0.9312033296609132
krasnow_intra,2,actinn-jax,classical,cpu,24558,8169,41.672507749986835,0.48753633303567767,4030.431232,8169,0.0,0.9101481209450362,0.8880864567941084,0.9067861914720373,0.9312033296609132
krasnow_intra,0,celltypist,classical,cpu,24558,8169,82.1706237080507,0.5186699589830823,4057.41568,8169,0.0,0.9111274329783328,0.896296582492627,0.9078016011324431,0.9331619537275064
krasnow_intra,1,celltypist,classical,cpu,24558,8169,85.49799120798707,0.5497253750218078,4058.218496,8169,0.0,0.9106377769616845,0.8949385602919402,0.9072910195150634,0.932427469702534
krasnow_intra,2,celltypist,classical,cpu,24558,8169,82.09375004202593,0.5338794579729438,4058.546176,8169,0.0,0.9110050189741706,0.8970696410600306,0.9076720971412063,0.9326722977108581
krasnow_intra,0,svm,classical,cpu,24558,8169,48.89265316701494,0.14584316703258082,3952.80384,8169,0.0,0.9106377769616845,0.8882694983667964,0.9072770844549485,0.9319378136858857
krasnow_intra,1,svm,classical,cpu,24558,8169,47.485901582986116,0.1578387090121396,3586.408448,8169,0.0,0.9110050189741706,0.8866846621824653,0.907658904243371,0.932427469702534
krasnow_intra,2,svm,classical,cpu,24558,8169,43.789548375003505,0.1542009580298327,3587.538944,8169,0.0,0.9112498469824948,0.8839397496371584,0.9079180660353648,0.9323050556983719
krasnow_intra,0,knn,classical,cpu,24558,8169,2.416520790953655,0.4347297089989297,3971.72736,8169,0.0,0.9176153751989228,0.8798739060910962,0.9145293446238765,0.9409964499938793
krasnow_intra,1,knn,classical,cpu,24558,8169,2.355952374986373,0.42469229199923575,3969.59744,8169,0.0,0.9172481331864365,0.8791724005858268,0.9141467738616492,0.9403843799730689
krasnow_intra,2,knn,classical,cpu,24558,8169,2.372016583045479,0.43214016599813476,3970.08896,8169,0.0,0.9182274452197331,0.8804799571948929,0.9151637657007856,0.9411188639980413
hcla_to_krasnow,0,actinn-jax,classical,cpu,22859,37688,43.5676701660268,2.3119502079789527,8874.164224,37688,0.0,0.38749734663553387,0.18483668238105502,0.37377128471466015,0.8246126087879431
hcla_to_krasnow,1,actinn-jax,classical,cpu,22859,37688,43.47388854197925,1.9650953340460546,10018.766848,37688,0.0,0.38749734663553387,0.18483668238105502,0.37377128471466015,0.8246126087879431
hcla_to_krasnow,2,actinn-jax,classical,cpu,22859,37688,44.223259125021286,1.7411336250370368,10234.445824,37688,0.0,0.38749734663553387,0.18483668238105502,0.37377128471466015,0.8246126087879431
hcla_to_krasnow,0,celltypist,classical,cpu,22859,37688,94.22578791703563,0.9566117500071414,5241.32352,37688,0.0,0.38471131394608366,0.18037588431761387,0.37123870887258203,0.831378688176608
hcla_to_krasnow,1,celltypist,classical,cpu,22859,37688,94.76688345801085,0.9786557920160703,5568.806912,37688,0.0,0.38402143918488646,0.17986872147245841,0.3705203081696442,0.829839736786245
hcla_to_krasnow,2,celltypist,classical,cpu,22859,37688,96.5524634589674,1.023723499965854,6555.07456,37688,0.0,0.3846582466567608,0.18046843941026022,0.37118019578283246,0.8314848227552537
hcla_to_krasnow,0,svm,classical,cpu,22859,37688,58.18089666700689,0.5705314590013586,4647.632896,37688,0.0,0.3813946083634048,0.17916906060752416,0.3678847368120093,0.8303704096794736
hcla_to_krasnow,1,svm,classical,cpu,22859,37688,61.105844541976694,0.5905854160082527,4854.464512,37688,0.0,0.38163341116535765,0.17921406125853168,0.3681304649899533,0.8312194863086394
hcla_to_krasnow,2,svm,classical,cpu,22859,37688,59.4517662920407,0.6451390829752199,5088.280576,37688,0.0,0.3817395457440034,0.17933039834735304,0.3682445823896452,0.831192952663978
hcla_to_krasnow,0,knn,classical,cpu,22859,37688,2.442843333003111,1.7106039160280488,5595.185152,37688,0.0,0.37505306728932286,0.1750716447102152,0.3610973811240127,0.8232593929102101
hcla_to_krasnow,1,knn,classical,cpu,22859,37688,2.4363267910084687,1.5973828340065666,5599.985664,37688,0.0,0.3733549140309913,0.17509997796008378,0.3594179401468156,0.8219592443218
hcla_to_krasnow,2,knn,classical,cpu,22859,37688,2.449871917022392,1.598198499996215,5594.89024,37688,0.0,0.37391212056888135,0.1753079445830809,0.3599563368360863,0.8212693695606028
