method,accuracy,macro_f1,ontology,train_s,infer_s,n_ref
flat-full,0.725,0.358,0.808,18.4,0.11,5766
random-30,0.536,0.224,0.644,7.0,0.08,2258
coreset-30,0.531,0.227,0.635,6.9,0.08,2258
hierarchy-scprint(G8),0.711,0.364,0.806,37.0,0.55,5766
hierarchy-random(G8),0.682,0.318,0.767,35.8,0.57,5766
scprint-alone,0.009,0.003,0.178,0.0,,0
scoping(43/81t),0.6,0.323,0.681,10.9,0.09,3607
routing(G8),0.364,0.179,0.628,37.0,0.51,5766
