dataset,repeat,method,tier,device,n_ref,n_query,fit_s,predict_s,peak_mem_mb,n,pct_rejected,accuracy,macro_f1,kappa,ontology_concordance
brain_intra,0,actinn-jax,classical,cpu,5170,1722,8.29869354100083,0.18635229199935566,2294.202368,1722,0.0,0.9860627177700348,0.9861537077372865,0.9854452121129306,0.9941927990708479
brain_intra,1,actinn-jax,classical,cpu,5170,1722,8.246580874998472,0.186671417002799,2298.51136,1722,0.0,0.9860627177700348,0.9861537077372865,0.9854452121129306,0.9941927990708479
brain_intra,2,actinn-jax,classical,cpu,5170,1722,8.236977707998449,0.18955308300064644,2272.509952,1722,0.0,0.9860627177700348,0.9861537077372865,0.9854452121129306,0.9941927990708479
brain_intra,0,linear-anova-pca,classical,cpu,5170,1722,1.6390081249992363,0.1360677909979131,3425.353728,1722,0.0,0.9860627177700348,0.9864317420233775,0.9854450685872264,0.991869918699187
brain_intra,1,linear-anova-pca,classical,cpu,5170,1722,1.630943957999989,0.13895341600073152,3425.468416,1722,0.0,0.9860627177700348,0.9864317420233775,0.9854450685872264,0.991869918699187
brain_intra,2,linear-anova-pca,classical,cpu,5170,1722,1.6278297499993641,0.1367283330000646,3425.255424,1722,0.0,0.9860627177700348,0.9864317420233775,0.9854450685872264,0.991869918699187
brain_intra,0,svm,classical,cpu,5170,1722,13.77203095799996,0.04381125000145403,1443.84,1722,0.0,0.9889663182346109,0.989205568840049,0.9884770537772709,0.9936120789779327
brain_intra,1,svm,classical,cpu,5170,1722,13.199350874998345,0.04497820799952024,1443.75808,1722,0.0,0.9889663182346109,0.9892061412249765,0.9884770537772709,0.9930313588850174
brain_intra,2,svm,classical,cpu,5170,1722,13.098988000001555,0.04277929200179642,1443.823616,1722,0.0,0.9895470383275261,0.9897649033423365,0.9890835246310988,0.9936120789779327
brain_intra,0,knn,classical,cpu,5170,1722,0.34602604099927703,0.10642300000108662,1545.125888,1722,0.0,0.9750290360046457,0.9759660283477505,0.9739224145521139,0.9912891986062717
brain_intra,1,knn,classical,cpu,5170,1722,0.34295429199846694,0.08865166699979454,1545.91232,1722,0.0,0.9744483159117305,0.975175279073767,0.973316297386217,0.991869918699187
brain_intra,2,knn,classical,cpu,5170,1722,0.3451749589985411,0.08853687499868101,1545.8304,1722,0.0,0.9727061556329849,0.9735070881559046,0.9714969540261864,0.9895470383275261
brain_intra,0,celltypist,classical,cpu,5170,1722,18.162593083998217,0.5274362080017454,1658.503168,1722,0.0,0.9889663182346109,0.9892146509334481,0.9884770537772709,0.9947735191637631
brain_intra,1,celltypist,classical,cpu,5170,1722,19.678304332999687,0.5193078340016655,1519.190016,1722,0.0,0.9889663182346109,0.9892146509334481,0.9884770537772709,0.9947735191637631
brain_intra,2,celltypist,classical,cpu,5170,1722,18.07474108400129,0.536138542000117,1658.503168,1722,0.0,0.9889663182346109,0.9892146509334481,0.9884770537772709,0.9947735191637631
brain_intra,0,singler,classical,cpu,5170,1722,0.2548901249974733,13.161372250000568,3959.668736,1722,0.0,0.9773519163763066,0.9770839481283948,0.9763487195669108,0.9912891986062717
brain_intra,1,singler,classical,cpu,5170,1722,0.2541095000015048,13.089925582997239,3962.454016,1722,0.0,0.9773519163763066,0.9770839481283948,0.9763487195669108,0.9912891986062717
brain_intra,2,singler,classical,cpu,5170,1722,0.25039454199941247,13.017379165998136,3958.571008,1722,0.0,0.9773519163763066,0.9770839481283948,0.9763487195669108,0.9912891986062717
brain_intra,0,scmap-cluster,classical,cpu,5170,1722,0.24779133300035028,7.621075915998517,8277.737472,1722,0.0,0.9012775842044135,0.8612590449515227,0.8971834503076173,0.9912390488110138
brain_intra,1,scmap-cluster,classical,cpu,5170,1722,0.2533194169991475,7.693401458000153,8297.578496,1722,0.0,0.9012775842044135,0.8612590449515227,0.8971834503076173,0.9912390488110138
brain_intra,2,scmap-cluster,classical,cpu,5170,1722,0.2527477090006869,7.646409792003396,8227.520512,1722,0.0,0.9012775842044135,0.8612590449515227,0.8971834503076173,0.9912390488110138
brain_intra,0,scanvi,deep,mps,5170,1722,0.004648708003514912,39.525980833001086,2105.049088,1722,0.0,0.9872241579558653,0.9877911193059251,0.9866578103791839,0.9930313588850174
brain_intra,1,scanvi,deep,mps,5170,1722,0.004651709001336712,38.463880833001895,2104.36096,1722,0.0,0.9895470383275261,0.9897484268212661,0.9890835246310988,0.9959349593495935
brain_intra,2,scanvi,deep,mps,5170,1722,0.0046755000003031455,38.48548808299893,2104.918016,1722,0.0,0.9895470383275261,0.9900137821453626,0.989083663037514,0.9947735191637631
brain_intra,0,scarches,deep,mps,5170,1722,29.49729620799917,5.565314499999658,1806.974976,1722,0.0,0.9889663182346109,0.9891980704181188,0.9884773135003286,0.9947735191637631
brain_intra,1,scarches,deep,mps,5170,1722,29.618000709000626,5.591896915997495,1808.269312,1722,0.0,0.9889663182346109,0.988925016976934,0.9884771674075493,0.9953542392566783
brain_intra,2,scarches,deep,mps,5170,1722,29.485612625001522,5.608168791000935,1804.61568,1722,0.0,0.9889663182346109,0.9891592736623714,0.9884773135003286,0.9947735191637631
brain_intra,0,sctop,classical,cpu,5170,1722,0.8981824160000542,0.9075133340011234,1823.45728,1722,0.0,0.9761904761904762,0.9767216956146276,0.9751355706929231,0.9924506387921022
brain_intra,1,sctop,classical,cpu,5170,1722,0.899069958999462,0.8529009579979174,1824.325632,1722,0.0,0.9761904761904762,0.9767216956146276,0.9751355706929231,0.9924506387921022
brain_intra,2,sctop,classical,cpu,5170,1722,0.8983192920022702,0.8569269170002372,1824.456704,1722,0.0,0.9761904761904762,0.9767216956146276,0.9751355706929231,0.9924506387921022
brain_intra,0,protocloud,deep,cpu,5170,1722,83.31136516599872,0.756935915997019,1757.773824,1722,0.11962833914053426,0.9907651715039578,0.9908211533468595,0.9903563304983319,0.9927440633245382
brain_intra,1,protocloud,deep,cpu,5170,1722,83.66144524999982,0.767990207998082,1760.182272,1722,0.11962833914053426,0.9907651715039578,0.9908211533468595,0.9903563304983319,0.9927440633245382
brain_intra,2,protocloud,deep,cpu,5170,1722,83.76656354100123,0.7594415420026053,1760.428032,1722,0.11962833914053426,0.9907651715039578,0.9908211533468595,0.9903563304983319,0.9927440633245382
