dataset,repeat,method,tier,device,n_ref,n_query,fit_s,predict_s,peak_mem_mb,n,pct_rejected,accuracy,macro_f1,kappa,ontology_concordance
brain_cluster_intra,0,actinn-jax,classical,cpu,10894,3618,16.228296541001328,0.33807858300133375,3911.172096,3618,0.0,0.7410171365395246,0.7367968566399755,0.7392548757042962,0.9872857932559425
brain_cluster_intra,1,actinn-jax,classical,cpu,10894,3618,16.254066041998158,0.33435812500101747,3908.4032,3618,0.0,0.7410171365395246,0.7367968566399755,0.7392548757042962,0.9872857932559425
brain_cluster_intra,2,actinn-jax,classical,cpu,10894,3618,16.491135749998648,0.33328270799756865,3896.557568,3618,0.0,0.7410171365395246,0.7367968566399755,0.7392548757042962,0.9872857932559425
brain_cluster_intra,0,linear-anova-pca,classical,cpu,10894,3618,4.848162708000018,0.3470076660014456,7190.233088,3618,0.0,0.8159203980099502,0.8160240976384454,0.8146714405006296,0.9917081260364843
brain_cluster_intra,1,linear-anova-pca,classical,cpu,10894,3618,4.867725166001037,0.35223608299929765,7188.80768,3618,0.0,0.8159203980099502,0.8160240976384454,0.8146714405006296,0.9917081260364843
brain_cluster_intra,2,linear-anova-pca,classical,cpu,10894,3618,4.837526708997757,0.3453984580010001,7191.298048,3618,0.0,0.8159203980099502,0.8160240976384454,0.8146714405006296,0.9917081260364843
brain_cluster_intra,0,svm,classical,cpu,10894,3618,116.07699358399987,0.08974770799977705,2719.350784,3618,0.0,0.8297401879491432,0.8273640590868547,0.8285823328018821,0.9933665008291874
brain_cluster_intra,1,svm,classical,cpu,10894,3618,115.23441241600085,0.09456754200073192,2719.612928,3618,0.0,0.8275290215588723,0.825964392429541,0.8263557553721388,0.9933665008291874
brain_cluster_intra,2,svm,classical,cpu,10894,3618,112.8390337080018,0.08943608400295489,2719.432704,3618,0.0,0.82808181315644,0.826213240331007,0.8269123473770144,0.992260917634052
brain_cluster_intra,0,knn,classical,cpu,10894,3618,0.6137475830000767,0.19065204200160224,2938.175488,3618,0.0,0.7263681592039801,0.7186849285498941,0.7245092487861877,0.9914317302377004
brain_cluster_intra,1,knn,classical,cpu,10894,3618,0.6089327500012587,0.1896919999999227,2938.175488,3618,0.0,0.7144831398562742,0.7042471445687598,0.7125408578516337,0.9925373134328358
brain_cluster_intra,2,knn,classical,cpu,10894,3618,0.6112726669998665,0.18771341699903132,2937.97888,3618,0.0,0.7216694306246545,0.7098074669626269,0.7197767890724112,0.9914317302377004
brain_cluster_intra,0,celltypist,classical,cpu,10894,3618,163.30686787500235,0.5648164580015873,2881.306624,3618,0.0,0.8313985627418463,0.8289673901869616,0.8302517242835377,0.9928137092316197
brain_cluster_intra,1,celltypist,classical,cpu,10894,3618,162.3290381250008,0.5892991250002524,2881.536,3618,0.0,0.8322277501381979,0.8305870383861994,0.8310866817874896,0.9928137092316197
brain_cluster_intra,2,celltypist,classical,cpu,10894,3618,159.03707462499733,0.5788209580023249,2881.37216,3618,0.0,0.8327805417357657,0.8306622879199842,0.8316429741020963,0.9925373134328358
