dataset,repeat,method,tier,device,n_ref,n_query,fit_s,predict_s,peak_mem_mb,n,pct_rejected,accuracy,macro_f1,kappa,ontology_concordance
krasnow_intra,0,actinn-jax,classical,cpu,13923,4628,63.64426687499508,5.101195416995324,12293.996544,4628,0.0,0.9038461538461539,0.899502323678669,0.9009636979579851,0.9310717372515125
krasnow_intra,0,celltypist,classical,cpu,13923,4628,153.6157388749998,0.8601926250266843,2565.799936,4628,0.0,0.901685393258427,0.8961584673828626,0.8987382069063684,0.9291270527225584
krasnow_intra,0,svm,classical,cpu,13923,4628,43.23565187497297,0.20041654101805761,2504.114176,4628,0.0,0.9008210890233362,0.8935928366791565,0.8978566088454916,0.9289109766637856
krasnow_intra,0,knn,classical,cpu,13923,4628,4.3557010410004295,0.3917227080091834,2509.275136,4628,0.0,0.9006050129645635,0.8817099655152102,0.8976358363431248,0.9319360414866033
hcla_to_krasnow,0,actinn-jax,classical,cpu,14390,26077,78.87205708399415,12.61256245902041,17712.3328,26077,0.0,0.3759634927330598,0.18291030979969827,0.36503321836399716,0.7910035663611612
hcla_to_krasnow,0,celltypist,classical,cpu,14390,26077,86.46256845799508,1.235632625001017,4223.074304,26077,0.0,0.37170686812133297,0.18029956169264225,0.3610308301851892,0.7949534072170878
hcla_to_krasnow,0,svm,classical,cpu,14390,26077,58.868771708977874,0.6784733749809675,3256.107008,26077,0.0,0.3683322468075315,0.1803529609315025,0.35749467242963695,0.7915404379338115
hcla_to_krasnow,0,knn,classical,cpu,14390,26077,3.4907777910120785,1.5108805829659104,3759.55456,26077,0.0,0.36507266940215516,0.17635227045113377,0.35392969170911637,0.7867469417494344
