dataset,repeat,method,tier,device,n_ref,n_query,fit_s,predict_s,peak_mem_mb,n,pct_rejected,accuracy,macro_f1,kappa
pbmc3k_intra,0,actinn-jax,classical,cpu,1981,657,5.5111963340314105,0.08802216703770682,882.76992,657,0.0,0.91324200913242,0.7954430862298707,0.8805755487452922
pbmc3k_intra,1,actinn-jax,classical,cpu,1981,657,5.238966749981046,0.09747295797569677,841.007104,657,0.0,0.91324200913242,0.7954430862298707,0.8805755487452922
pbmc3k_intra,2,actinn-jax,classical,cpu,1981,657,5.191564709006343,0.0843004590133205,954.957824,657,0.0,0.91324200913242,0.7954430862298707,0.8805755487452922
pbmc3k_intra,0,celltypist,classical,cpu,1981,657,2.265467959048692,0.508370624971576,608.927744,657,0.0,0.9208523592085236,0.8627092864057088,0.8902904265841158
pbmc3k_intra,1,celltypist,classical,cpu,1981,657,1.9762539159855805,0.5112421250087209,608.305152,657,0.0,0.9254185692541856,0.901767874781966,0.8967087194229831
pbmc3k_intra,2,celltypist,classical,cpu,1981,657,2.3008233750006184,0.5204784580273554,609.632256,657,0.0,0.9117199391171994,0.8759487417415273,0.8771218140542771
pbmc3k_intra,0,svm,classical,cpu,1981,657,1.8679128339863382,0.02326162497047335,557.858816,657,0.0,0.9101978691019786,0.8467098045153612,0.8752229139439512
pbmc3k_intra,1,svm,classical,cpu,1981,657,1.956762499990873,0.02337041700957343,556.843008,657,0.0,0.9101978691019786,0.8476318878599264,0.8753340730377731
pbmc3k_intra,2,svm,classical,cpu,1981,657,1.9557625419693068,0.027459541975986212,556.777472,657,0.0,0.9010654490106544,0.8383205226878196,0.862008685649291
pbmc3k_intra,0,knn,classical,cpu,1981,657,1.585301208018791,0.044736666954122484,557.13792,657,0.0,0.9010654490106544,0.7174060135513863,0.863142545827458
pbmc3k_intra,1,knn,classical,cpu,1981,657,1.6234499169513583,0.037809333007317036,556.498944,657,0.0,0.9117199391171994,0.7476362440380945,0.8779401071779775
pbmc3k_intra,2,knn,classical,cpu,1981,657,1.567282875010278,0.038027542002964765,556.908544,657,0.0,0.908675799086758,0.7245990717467228,0.8738709336814521
