arm,n_train,n_test,n_classes,n_groups,fidelity_exact,fidelity_ontology,student_vs_truth,teacher_vs_truth,n_scored,fit_s,predict_s,cells_per_s
in_corpus,63947,21309,324,142,0.7569,0.822,0.5131,0.5209,18707,29.6,0.9,23644
heldout_lung,66706,18550,324,139,0.8355,0.8775,0.6951,0.7098,18550,28.3,0.53,34740
