dataset,method,repeat,accuracy,macro_f1,ontology_concordance,fit_s,predict_s,peak_mem_mb
pbmc,actinn-jax,0,0.91324200913242,0.7954430862298707,,5.165067958063446,0.0935815840493887,955.629568
pbmc,actinn-jax,1,0.91324200913242,0.7954430862298707,,5.056701291934587,0.0905956249916926,883.490816
pbmc,actinn-jax,2,0.91324200913242,0.7954430862298707,,5.00973804097157,0.0880402920302003,882.262016
pbmc,svm,0,0.9254185692541856,0.9064861259660726,,1.795912167057395,0.0243240420240908,560.791552
pbmc,svm,1,0.9071537290715372,0.8500645882340413,,1.8444064590148628,0.0217293750029057,560.41472
pbmc,svm,2,0.9117199391171994,0.8519060556670002,,1.7884614589856938,0.0222952500917017,559.366144
pbmc,knn,0,0.9117199391171994,0.7456569086032869,,1.589767458033748,0.0401700830552727,559.808512
pbmc,knn,1,0.9056316590563166,0.7251773855124698,,1.5837365000043064,0.0409868330461904,561.020928
pbmc,knn,2,0.9056316590563166,0.7352087260944817,,1.5868600830435753,0.037853333982639,559.857664
pbmc,celltypist,0,0.9041095890410958,0.8162061178494517,,1.977922833058983,0.4895977090345695,612.335616
pbmc,celltypist,1,0.9178082191780822,0.8488913281275979,,2.0875643329927698,0.4712364579318091,612.646912
pbmc,celltypist,2,0.9223744292237442,0.851546944015769,,2.015618750010617,0.4712061249883845,612.483072
pbmc,actinn-orig,0,0.9254185692541856,0.8798532466227552,,0.0260058749699965,9.53409741690848,2043.98592
pbmc,actinn-orig,1,0.91324200913242,0.7725467003840585,,0.0258664160501211,9.098579542012883,2066.284544
pbmc,actinn-orig,2,0.91324200913242,0.8107118854410036,,0.0260513749672099,8.87667733291164,2008.219648
pbmc,singler,0,0.9254185692541856,0.883621795389664,,0.0444670830620452,3.84803658304736,1342.42304
pbmc,singler,1,0.9254185692541856,0.883621795389664,,0.048381624976173,3.8450534999137744,1346.68288
pbmc,singler,2,0.9254185692541856,0.883621795389664,,0.0413808749290183,3.8335636249976233,1346.994176
pbmc,scmap-cluster,0,0.8706240487062404,0.778315661297897,,0.0412799160694703,3.6477247499860823,2995.027968
pbmc,scmap-cluster,1,0.8706240487062404,0.778315661297897,,0.0404324589762836,3.5499894579406828,2938.732544
pbmc,scmap-cluster,2,0.8706240487062404,0.778315661297897,,0.043269666028209,3.61684333300218,2985.623552
pbmc,scanvi,0,0.908675799086758,0.8562321809306388,,0.0056996659841388,16.951402209000662,1048.068096
pbmc,scanvi,1,0.9254185692541856,0.8666666954533617,,0.0064151670085266,16.52998754195869,1041.399808
pbmc,scanvi,2,0.9162861491628614,0.864612010107567,,0.0062757079722359,16.94133141695056,1048.90368
pbmc,scarches,0,0.9315068493150684,0.8782479283109274,,12.546130875009112,2.9520117500796914,1054.769152
pbmc,scarches,1,0.9360730593607306,0.8832411248073011,,13.839038249920122,2.989580790977925,1058.111488
pbmc,scarches,2,0.9345509893455098,0.8819534900064163,,12.5820450829342,3.087160791037604,1050.411008
liver_cross,actinn-jax,0,0.6855123674911661,0.5692365514071739,0.7311542991755006,12.456281666993164,0.2189734170679003,2086.862848
liver_cross,actinn-jax,1,0.6855123674911661,0.5692365514071739,0.7311542991755006,12.30532508296892,0.2165793330641463,2090.1888
liver_cross,actinn-jax,2,0.6855123674911661,0.5692365514071739,0.7311542991755006,12.309285625000484,0.2191790839424356,2092.040192
liver_cross,svm,0,0.6581272084805654,0.5589766711807682,0.7075971731448764,9.145167583948933,0.0588899999856948,1273.757696
liver_cross,svm,1,0.6622497055359247,0.5655799150267872,0.7108362779740872,9.772935207933187,0.0579506249632686,1275.838464
liver_cross,svm,2,0.6604829210836278,0.5673789697142851,0.7087750294464076,10.166977999964727,0.0571322499308735,1274.216448
liver_cross,knn,0,0.6148409893992933,0.5148223173614511,0.6657832744405182,1.6979547499213368,0.1212363749509677,1359.347712
liver_cross,knn,1,0.6130742049469965,0.516768427005141,0.6631330977620731,1.7854733749991285,0.1300753330579027,1361.084416
liver_cross,knn,2,0.6130742049469965,0.5203899982193212,0.666077738515901,1.7884429999394342,0.1330657920334488,1361.149952
liver_cross,celltypist,0,0.6793286219081273,0.5994516176202486,0.7211425206124853,11.427267665974796,0.5591674169991165,1503.363072
liver_cross,celltypist,1,0.6775618374558304,0.596745936521031,0.7143698468786808,10.453920500003733,0.5948651250218973,1503.281152
liver_cross,celltypist,2,0.6725559481743227,0.6010764491917822,0.7158421672555948,10.47300483402796,0.5908485000254586,1501.954048
liver_cross,actinn-orig,0,0.7017078916372202,0.6035895288103158,0.7482332155477032,0.0534158339723944,49.88669204094913,7869.431808
liver_cross,actinn-orig,1,0.6964075382803298,0.600218959815979,0.7332155477031802,0.0565375420264899,49.58739737502765,7868.956672
liver_cross,actinn-orig,2,0.6872791519434629,0.5638616852753756,0.732037691401649,0.0641933330334723,50.00822183396667,7870.234624
liver_cross,singler,0,0.4946996466431095,0.4197018304929646,0.5429917550058893,0.1852643339661881,23.833871208014894,3220.258816
