dataset,budget,n_input_genes,n_model_genes,accuracy,f1_macro,fit_s,peak_gb
hypomap,1000_op,1000,960,0.9982,0.995,74.6,25.1
hypomap,2000,2000,1920,0.9973,0.9915,103.5,12.2
hypomap,3000,3000,2880,0.9964,0.9783,133.2,18.5
hypomap,5000,5000,4802,0.9964,0.9783,181.0,18.1
hypomap,7500,7500,7202,0.9964,0.9783,231.2,14.2
hypomap,10000,10000,9604,0.9964,0.9783,272.6,18.1
