method,mean_accuracy,mean_f1_macro,total_runtime_s,mean_runtime_s,peak_rss_gb,acc_dkd,acc_gtex_v9,acc_immune_cell_atlas,acc_mouse_pancreas_atlas,acc_hypomap,acc_tabula_sapiens
actinn_jax,0.8367,0.6555,990.3,165.1,21.0,0.9469,0.8573,0.8593,0.965,0.9973,0.3944
mlp,0.8385,0.6644,1962.4,327.1,19.9,0.949,0.8571,0.8641,0.9733,1.0,0.3873
knn,0.7932,0.6483,62.8,10.5,19.5,0.949,0.8523,0.8144,0.9756,0.9954,0.1725
logistic_regression,0.8126,0.6894,172.3,28.7,20.0,0.9566,0.8846,0.884,0.9777,0.9964,0.1761
naive_bayes,0.7381,0.6132,183.6,30.6,19.5,0.9269,0.7599,0.6389,0.9502,0.9945,0.1585
xgboost,0.7946,0.6131,5430.0,905.0,80.7,0.9595,0.7981,0.8069,0.9709,0.9964,0.2359
cellmapper_linear,0.7765,0.5526,345.1,57.5,31.5,0.9543,0.8186,0.7866,0.9616,0.9863,0.1514
